Title,Price,Rating,Address,Img_URL,Description,Rank_of_province,Link_FoodTour,Unnamed: 8,Unnamed: 9
Hoi An Eco Tour and Papa's Cooking Class,-1,5.0,-1,-1,"Long is a great guide, he and his family will give you a great experience. Highly recommended! Watch out for the Chili! 😅",Số 5 trên 167 Lớp học & hội thảo ở Hội An,https://www.tripadvisor.com.vn/Attraction_Review-g298082-d11105461-Reviews-Hoi_An_Eco_Tour_and_Papa_s_Cooking_Class-Hoi_An_Quang_Nam_Province.html,,
Exotic Voyages,-1,5.0,-1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/26/73/50/1a/ev-logo.jpg?w=900&h=700&s=1,"I had a long-awaited international trip with my parents. Since it is an international trip, I decided to try travel agency and Exotic Voyages met above and beyond my expectations.

Our travel designer Phuong is very patient, kind and she planned our trip that perfectly matched our preferences. We don't have to worry about booking flights, hotels and transportations. She took care of everything. The payment is also convenient.
The hotels and transportations they booked are excellent. I would definitely book with Exotic Voyages again for next Southeast Asia trip.
Thanks.",Số 39 trên 456 Đồ ăn & Đồ uống ở Hà Nội,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d2355625-Reviews-Exotic_Voyages-Hanoi.html,,
Hue Vacations,-1,5.0,-1,-1,-1,Số 2 trên 39 Chuyến tham quan bằng thuyền & thể thao dưới nước ở Huế,https://www.tripadvisor.com.vn/Attraction_Review-g293926-d11978758-Reviews-Hue_Vacations-Hue_Thua_Thien_Hue_Province.html,,
Asianway Travel,-1,5.0,-1,-1,"đến với cty asian way bạn sẽ tận hưởng được những chuyến du lịch đầy hấp trên mọi miền đất nứơc, và đặt biệt là bạn sẽ được tặng những phần quà đáng yêu từ cty sau khi kết thúc tour.",Số 35 trên 556 Chuyến tham quan bằng thuyền & thể thao dưới nước ở Hà Nội,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d5973397-Reviews-Asianway_Travel-Hanoi.html,,
Buffalo Tours,-1,4.5,-1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/19/c6/4e/5a/discova-logo.jpg?w=1000&h=800&s=1,"Tôi đã có 1 ngày thật tuyệt cùng người vợ của mình. Chúng tôi thật may mắn khi đã có một người bạn đồng hành tuyệt vời trong chuyến tham quan Hà Nội. Đó là anh Hòa, người đã đưa chúng tôi đến với kho kiến thức khổng lồ ẩn sau những địa danh nổi tiếng. Bác tài cũng rất chu đáo và nhanh nhẹn. Cuối buổi chúng tôi đã được thưởng thức những món ăn tưởng như quen thuộc nhưng lại rất độc đáo.
Tôi sẽ chọn Buffalo Tours nếu có cơ hội và dĩ nhiên muốn được đồng hành cùng anh Hòa, người hướng dẫn viên chuyên nghiệp.",Số 75 trên 456 Đồ ăn & Đồ uống ở Hà Nội,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d1074223-Reviews-Buffalo_Tours-Hanoi.html,,
Vespa Adventures,-1,5.0,-1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/5e/9e/99/vespa-adventures-hanoi.jpg?w=1200&h=900&s=1,"What a fabulous way to see Hanoi by night! The team expertly guided us around Hanoi's traffic to some great spots, ending with a Jazz club. I can highly recommend Nhi and her team.",Số 29 trên 456 Đồ ăn & Đồ uống ở Hà Nội,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d11853153-Reviews-Vespa_Adventures-Hanoi.html,,
Asia Vespa Tours – Hanoi Vespa Tours,-1,5.0,-1,-1,Es nuestro segundo día en Hanoi y hemos decidido los seis amigos hacer un tour en moto. Bill ha sido la persona responsable de este tour. Ha sido increíble poder ver Hanoi desde la locura que parece la conducción. Todos los conductores han sido increíbles. Recomendable 100%.,Số 17 trên 456 Đồ ăn & Đồ uống ở Hà Nội,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d14199330-Reviews-Asia_Vespa_Tours_Hanoi_Vespa_Tours-Hanoi.html,,
A Taste of Hanoi,-1,5.0,-1,-1,"Recently had the pleasure of touring the city with Rose as our guide, and it was nothing short of exceptional. She took us to some amazing rooftops for cocktails, introduced us to local street food, and led us to the best bánh mì I've ever had in my life. Beyond her excellent food and drink recommendations, Rose's knowledge of the city and its history was outstanding. Her warmth and genuine nature made our experience memorable, truly making the city come alive for us. Highly recommend touring with Rose!",Số 31 trên 456 Đồ ăn & Đồ uống ở Hà Nội,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d7899059-Reviews-A_Taste_of_Hanoi-Hanoi.html,,
Kumquat Tree,-1,5.0,"1 Nguyễn Khắc Cần Tràng Tiền, Hoàn Kiếm, Hà Nội 100000 Việt Nam",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/14/0c/ac/9d/iconic-red-door.jpg?w=900&h=600&s=1,"I found this little “speakeasy” place by doing some research about the Hanoi bar scene. I contacted them via email from their Facebook page to ask for the “code”. We didn’t really end up needing that however (though they did respond promptly)

The bar is very cute and importantly, has great drinks. Perhaps not the depth and breadth of selections you’d probably get at a similar American place, but way more than enough to drink away a few, or more, hours

The experience was made even better by the two men who made our drinks. Nam and Quoc were so nice and amazing bartenders. They are knowledgeable about their craft and incredibly friendly- great to talk to them.

We really enjoyed our time there and wish we could have made a trip back before we left.

Thank you",Số 15 trên 207 Giải trí về đêm ở Hà Nội,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d14504613-Reviews-Kumquat_Tree-Hanoi.html,,
Tiger Tours,-1,5.0,-1,-1,"I had a great day with Cong. He is very knowledgeable and friendly and as a solo female traveler felt very safe. This is the perfect itinerary to see lots of interesting sites in a short time and not even feeling rushed. The food was lonely, I had a great day!",Số 46 trên 326 Đồ ăn & Đồ uống ở Thành phố Hồ Chí Minh,https://www.tripadvisor.com.vn/Attraction_Review-g293925-d2435196-Reviews-Tiger_Tours-Ho_Chi_Minh_City.html,,
I Love Hue Tour,-1,5.0,-1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/07/0e/60/90/i-love-hue-tour.jpg?w=1000&h=-1&s=1,Ha and Ngoc were lovely tour guides and spoke very good english. They drove the motorbikes very safely and showed us some Vietnamese food we wouldn’t have known to try otherwise. 5 stops in less than 3 hours was quite fast.,Số 2 trên 35 Lớp học & hội thảo ở Huế,https://www.tripadvisor.com.vn/Attraction_Review-g293926-d7244873-Reviews-I_Love_Hue_Tour-Hue_Thua_Thien_Hue_Province.html,,
Seni World,-1,5.0,-1,-1,"The best trip we had with Seni world. We travelled from Aug 25-Sep 1st 2023.They selected the best hotels,tour guides helped a lot to know more about the places we visited and provided a lot more information about Vietnam. Thanks to the entire team for the best days of our life.",Số 35 trên 456 Đồ ăn & Đồ uống ở Hà Nội,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d8587814-Reviews-Seni_World-Hanoi.html,,
Grasshopper Active - Hoi An Day Tours by Bike,-1,5.0,-1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/27/37/2c/87/enjoy-an-authentic-hoi.jpg?w=1200&h=900&s=1,-1,Số 31 trên 206 Đồ ăn & Đồ uống ở Hội An,https://www.tripadvisor.com.vn/Attraction_Review-g298082-d11672917-Reviews-Grasshopper_Active_Hoi_An_Day_Tours_by_Bike-Hoi_An_Quang_Nam_Province.html,,
Handspan Travel,-1,5.0,-1,-1,"Tôi được trải nghiệm một đêm tuyệt vời trong một cabin ( phòng trên thuyền) đầy đủ tiện nghi và sang trọng, sạch sẽ.
Tôi thích nhất việc được tự mình đi Kayak với bạn, khám phá 2 bãi biển.
Ở bãi biển đầu tiên tôi nghịch ngợm bắt sò lông, và có thể nhờ thuyền nướng giúp, và mời bạn bè ăn sò lông do chính tay tôi bắt ở các mỏm đá. Mỏm đá khá sắc nhọn vì có nhiều mảnh vỏ sò bám vào hoặc đã chết, hãy cẩn thận nếu không sẽ bị chảy máu. Nhưng cảm giác được bắt và thưởng thức 1 chút sò lông do chính tay mình bắt rất thú vị. Bãi biển đều rất trong sạch.
Những người hướng dẫn ở handspan rất quan tâm tới môi trường, trong khi đi kayak họ mang theo một lưới to và gom rác, lúc về rất nhiều rác đã được mang lên tàu mang về đất liền.
Ở bãi biển thứ 2, chúng tôi được chứng kiến người dân bắt cua bằng bẫy lồng, cua rất to, và khi lội ra các mỏm đá chúng tôi được nhìn thấy và thử bắt cua, nhưng cua rất to, chúng tôi đều rất sợ những cái càng rất to của chúng, nó cũng rất nhanh nhẹn.
Cuối ngày, chúng tôi ghé vào giao lưu cùng xóm chài trên biển, và xin được 2 chú cá biển màu sắc rất đẹp, người dân rất thân thiện",Số 69 trên 456 Đồ ăn & Đồ uống ở Hà Nội,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d1988960-Reviews-Handspan_Travel-Hanoi.html,,
Friends Travel Vietnam - Day Tours,-1,4.5,-1,-1,Friends Travel Agency helped our family very good with the planning of several trips during our Vietnam holiday. The staff is very friendly and professional and helped us very good finding our way through Vietnam! We would highly recommend this excellent agency!,Số 71 trên 456 Đồ ăn & Đồ uống ở Hà Nội,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d6732725-Reviews-Friends_Travel_Vietnam_Day_Tours-Hanoi.html,,
Motorbike Tours Hanoi,-1,5.0,-1,-1,My favorite experience in Hanoi! Motorbike around the city is the best way to see the city! Our tour guides were the best and very knowledgeable!,Số 40 trên 456 Đồ ăn & Đồ uống ở Hà Nội,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d7378184-Reviews-Motorbike_Tours_Hanoi-Hanoi.html,,
Withlocals,-1,5.0,-1,-1,"Hit the ground running with Huyen's awesome major highlights tour of the city! She was a great host, and knows so much about the history of the city, highly recommend you start out with this tour. A lot of fun in the first morning, and be sure you are in good hands with Huyen!",Số 30 trên 326 Đồ ăn & Đồ uống ở Thành phố Hồ Chí Minh,https://www.tripadvisor.com.vn/Attraction_Review-g293925-d12073390-Reviews-Withlocals-Ho_Chi_Minh_City.html,,
Halong Bay Cruises,-1,4.5,-1,-1,Đầu tiên cảm thấy rất hài lòng với chuyến đi này. Phục vụ rất tốt. Hướng dẫn nhiệt tình và đặc biệt thuyền rất là đẹp. Nếu có lần tiếp theo sự lựa chọn của tôi vẫn là halongbaycruises . Và tất nhiên tôi sẽ giới thiệu cho bạn bè và đồng nghiệp của tôi. Thật tuyệt vời,Số 77 trên 456 Đồ ăn & Đồ uống ở Hà Nội,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d1910168-Reviews-Halong_Bay_Cruises-Hanoi.html,,
Saigon Vibes,-1,5.0,-1,-1,-1,Số 67 trên 326 Đồ ăn & Đồ uống ở Thành phố Hồ Chí Minh,https://www.tripadvisor.com.vn/Attraction_Review-g293925-d17212823-Reviews-Saigon_Vibes-Ho_Chi_Minh_City.html,,
Hue Private Excursions,-1,5.0,-1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/41/9b/32/deluxe-private-shore.jpg?w=1200&h=-1&s=1,"私は歴史に強い関心があり、特にベトナム戦争のことをもう一度勉強してみて実際の戦場を訪問したいと思っていました。
そこでフエの一日DMZツアーに申し込んだのですが…。
確かにツアーで行く場所はどこもベトナム戦争で主要な戦場になったところや有名な場所です。しかし私にはそこがある種の「観光地」のように感じられてしまい、興味が今一つ湧きませんでした。

特にフエはベトナム戦争、とりわけテト攻勢で徹底的に破壊されてしまった街の一つです。せっかくならその時の痕跡やどんな状況だったのか、本や映像だけでは伝わらない生の感覚を得たいと思っていたところ、このPeterのツアーを見つけ、いろんな人の素晴らしいレビューに感化され、ぜひともPeterと一緒にツアーに参加したいと思い申し込みました。

実際、問い合わせた日からレスポンスが来て、私のわがままな提案にもいちいち丁寧に答えてくださり、予約前の段階で非常に信頼できる方だという印象でした。
私が行きたい、知りたい情報をまとめて、行ける場所やリストを作ってくれました。

申し込み後もまめに連絡しあい、きちんと約束の時間にホテルまで迎えに来てくれてツアーが始まりました。
彼はまず、美味しいコーヒー店に連れて行ってくれ、ベトナムの戦争に関するいろんな話を聞かせてくれ、リラックスしてツアーに臨むことができました。

実際戦闘が行われた場所(ほぼフエの街全体ですが)に連れて行ってくれ、当時の写真と今の景色を比べて、それに関する解説も丁寧に加えてくれて、私はまるで当時そこにいるような錯覚というか思いにとらわれました。
当時の一般市民、アメリカ兵、ベトナム兵、ベトコンたちが一体どんな気持ちでこの戦争を経験し、負傷し、亡くならなければならなかったのか、まさにツアーでは得難い、そのような生の実感を得ることができたのは、非常に大きな経験でPeterが私のために計画を練ってくれて、説明を一生懸命してくれたおかげだと思いました。

お昼は運転手さんとも一緒にフエの名物料理のお店に連れて行ってくださり、とても美味しい食事をすることができました。

午後にもツアーではほぼ行かないような、ベトナム戦争関連の場所に連れて行ってくれました。下手な英語の、つたない私の質問にも丁寧に答えてくれて、話ながら、この戦争についてもっともっと自分なりに深く知りたいと思うようになりました。

また、田園風景の素晴らしいところがこれまた感動的で、他の方のレビュー通り、本当にPeterのツアーに参加してよかったです！
一日しか参加できなかったのが残念でしたが、またフエに行った際はお世話になりたいです。

プライベートツアーなので、普通のツアーに比べたらもちろん割高になりますが、それ以上の価値が見いだせると思います。特にフエや、その周辺のツアーに関して何かこだわりや、外せないような場所、ツアーでは行くのが難しいようなところがあったら、ぜひ彼に問い合わせてみてください。素晴らしい計画を練ってくれるはずです。

Peterと運転手さんには感謝しかありません。
どうもありがとうございました！",Số 3 trên 84 Đồ ăn & Đồ uống ở Huế,https://www.tripadvisor.com.vn/Attraction_Review-g293926-d6681870-Reviews-Hue_Private_Excursions-Hue_Thua_Thien_Hue_Province.html,,
Vietnam Travel Heaven (VTH travel),-1,5.0,-1,-1,"Đây là lần thứ hai tôi đi du lịch với người bạn đặc biệt của tôi, nhưng nhờ có sự tổ chức của Vietnam Travel Heaven mà chuyến đi này thật sự ý nghĩa, chúng tôi có 1 lịch trình phù hợp với thời gian ăn, ngủ, nghỉ ngơi và thăm quan vịnh hạ long.
Với những bữa ăn được đầu bếp chế biến bằng hải sản chính là đặc sản của nơi này rất tươi ngon và hợp khẩu vị với tất cả mọi người
Chúng tôi có thời gian ngủ nghỉ hợp lý do được sắp xếp 1 phòng rất đẹp đầy đủ tiện nghi, trong phòng có thể nhìn ngắm vịnh nữa.
1 lịch trình thăm quan đầy đủ với những nơi chúng tôi đã đi như ; đi bơi và chèo kayak ở hang Luồn, được thưởng thức rượu, hoa quả và ngắm hoàng hôn của vịnh trên con tàu Viet beauty, sáng hôm sau chúng tôi được hướng dẫn tập thể dục, nấu ăn và sau khi dùng bữa sáng là đến thăm hang sửng sốt và làng ngọc trai.
Sau khi kết thúc chuyến đi tôi nghĩ lại thật là 1 quyết định đúng đắn khi đã mua tour của các bạn Vietnam Travel Heaven.
Cảm ơn,,,",Số 27 trên 456 Đồ ăn & Đồ uống ở Hà Nội,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d10619457-Reviews-Vietnam_Travel_Heaven_VTH_travel-Hanoi.html,,
Can Tho Touring with Susan,-1,5.0,-1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/13/2d/db/2e/dragon-fruit-flowers.jpg?w=1200&h=900&s=1,"A wonderful Day with our guide Donny. We had a nice boottrip at the floating market, and some visits at local factories.",Số 1 trên 67 Chuyến tham quan & hoạt động ở Cần Thơ,https://www.tripadvisor.com.vn/Attraction_Review-g303942-d12631812-Reviews-Can_Tho_Touring_with_Susan-Can_Tho_Mekong_Delta.html,,
YESD Responsible Tours,-1,5.0,-1,-1,"Vừa rồi chúng tôi có đi tua du lịch Hà giang từ Hà nội ,rất hài lòng nhân viên rất nhiệt tình ,tiếp đãi rất tử tế chu đáo nhất là cô Phượng,cậu Quyết ,bác tài và cô gì...cùng làm với cô Phượng.Rất là cám ơn sẽ giới thiệu cho họ hàng ,bạn bè đăng ký du lịch quý công ty",Số 1 trên 4 Đồ ăn & Đồ uống ở Hà Giang,https://www.tripadvisor.com.vn/Attraction_Review-g1544599-d9466015-Reviews-YESD_Responsible_Tours-Ha_Giang_Ha_Giang_Province.html,,
Long Phu Eco Tour,-1,5.0,-1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/53/9f/eb/getlstd-property-photo.jpg?w=1000&h=-1&s=1,바구니배는 익사이팅했고 쿠킹클래스를 하면서 직접 만들어 먹고 모두 색다른 경험이였다. 재밌었고 기억에 많이 남을 것 같다! 좋은 경험이였다!,Số 15 trên 127 Chuyến tham quan bằng thuyền & thể thao dưới nước ở Hội An,https://www.tripadvisor.com.vn/Attraction_Review-g298082-d13172856-Reviews-Long_Phu_Eco_Tour-Hoi_An_Quang_Nam_Province.html,,
TC Hoi An Travel,-1,5.0,-1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/a5/1f/2b/hoi-an-town.jpg?w=1200&h=-1&s=1,"This was a great moment in Hoi An with Cuong . He is kind, funny and know a lot about the city, especially the hidden and delicious restaurants. I visited amazing places I would never have gone without him.
The best food in our trip so far , Hoi An food was amazing such as Cao Lau noodle, water- fern cake , white rose ...
100% worth it! Highly recommend the tour .",Số 6 trên 315 Hoạt động ngoài trời ở Hội An,https://www.tripadvisor.com.vn/Attraction_Review-g298082-d17423704-Reviews-TC_Hoi_An_Travel-Hoi_An_Quang_Nam_Province.html,,
Da Nang Aodai Ridertour,-1,5.0,-1,-1,"Một chuyến đi thật tuyệt vời với thật nhiều những món ăn ngon tại Đà Nẵng cùng những người bạn đồng hành trên cả chuyến đi. Họ thật tận tình và tuyệt vời. Nếu các bạn muốn có một chuyến đi đáng nhớ tại Đà Nẵng , nhất định đừng bỏ qua lựa chọn này!",Số 4 trên 98 Đồ ăn & Đồ uống ở Đà Nẵng,https://www.tripadvisor.com.vn/Attraction_Review-g298085-d12711652-Reviews-Da_Nang_Aodai_Ridertour-Da_Nang.html,,
GADT Travel,-1,4.5,-1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/29/0a/83/df/coconut-forest.jpg?w=800&h=600&s=1,"Mot chuyen di Chua Huong that dep nhung bi chi cheo thuyen doi thêm tien, voi vinh, xin xo, Gan nhu là bi cuop day, mat them $400,000 that là vo ly và mat day.",Số 67 trên 456 Đồ ăn & Đồ uống ở Hà Nội,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d8861377-Reviews-GADT_Travel-Hanoi.html,,
Vietnam Top Travel,-1,5.0,-1,-1,"Chúng tôi đã có 1 ngày thật tuyệt vời.
Chuyến tour bắt đầu từ 8 giờ sáng và đồng hành cùng hướng dẫn viên rất vui vẻ, am hiểu kiến thức văn hoá, lịch sử. Anh ấy giúp chúng tôi rất nhiều trong quá trình đi tour.
Lái xe rất vui vẻ và xe sạch sẽ.
Nhà hàng rất nhiều món ăn và hợp khẩu vị chúng tôi.
Đoàn chúng tôi thích nhất là đi đò tại Tràng An, phong cảnh rất đẹp và mát mẻ.
Chúng tôi khuyên bạn nên chọn dịch vụ tour này.",Số 6 trên 494 Phương tiện giao thông ở Hà Nội,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d17592104-Reviews-Vietnam_Top_Travel-Hanoi.html,,
Vietnam To Travel,-1,5.0,-1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2a/37/b0/08/family-tiny-garden-homestay.jpg?w=1200&h=900&s=1,"Bạn Hướng Dẫn tên Khôi rất nhiệt tình, gia đình mình từ Hà Nội vào lần đầu đi Miền Tây và bạn chia sẻ rất nhiều thông tin thú vị và mới lạ về đồng bằng sông Cửu Long. Bạn cũng gợi ý và giúp gia đình mình có một chuyến du lịch ở Tp. HCM thêm thú vị. Đặc biệt bạn Khôi chụp hình rất đẹp, rất chuyên nghiệp và gia đình mình có những tấm hình lưu niệm rất ưng ý",Số 6 trên 154 Chuyến tham quan bằng thuyền & thể thao dưới nước ở Thành phố Hồ Chí Minh,https://www.tripadvisor.com.vn/Attraction_Review-g293925-d10836066-Reviews-Vietnam_To_Travel-Ho_Chi_Minh_City.html,,
Hanoi Backstreet Tours - Ninh Binh Backroad Tours,-1,5.0,-1,-1,Great tour full of amazing views! Tam is a great and knowledgeable tour guide and very friendly. Make sure to the take the vespa motorbike tour you won’t regret it!,Số 1 trên 75 Chuyến tham quan & hoạt động ở Ninh Bình,https://www.tripadvisor.com.vn/Attraction_Review-g303945-d26267864-Reviews-Hanoi_Backstreet_Tours_Ninh_Binh_Backroad_Tours-Ninh_Binh_Ninh_Binh_Province.html,,
Vietnamese Street Food Tour,-1,5.0,-1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/08/bc/7c/a6/vietnamese-street-food.jpg?w=1200&h=900&s=1,"Very exciting experience! Our guide (White) was really nice and told us a lot about the food, the culture and their history. We visitied spots where we would never go on our own. Just the right amount of food to get your food baby home ;-)",Số 18 trên 424 Hoạt động ngoài trời ở Thành phố Hồ Chí Minh,https://www.tripadvisor.com.vn/Attraction_Review-g293925-d8071632-Reviews-Vietnamese_Street_Food_Tour-Ho_Chi_Minh_City.html,,
ทัวร์ไซง่อนผจญภัยเมืองนักเรียนโดยสกู๊ตเตอร์,-1,5.0,-1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/27/47/59/fe/saigon-student-tour.jpg?w=1200&h=900&s=1,"Barney was my guide and I have nothing but excellent things to say about him and his tour. He was so caring, I was quiere worried about traffic, but you need to know that from inside, traffic is not that scary!! He was algo very talkative and explained a lot of things about their culture and ordinary life. I’m so happy to find Barney, he made my last day in his country an unforgettable one!! Thanks Barney!!!",Số 40 trên 326 Đồ ăn & Đồ uống ở Thành phố Hồ Chí Minh,https://www.tripadvisor.com.vn/Attraction_Review-g293925-d15593716-Reviews-Saigon_Adventure_Student_City_Tour_By_Scooter-Ho_Chi_Minh_City.html,,
Hanoi and Around with Thanh,-1,5.0,-1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/fb/d4/8d/with-my-favorite-customers.jpg?w=1000&h=800&s=1,I’ve always wanted to make a knife and my girlfriend had never even considered it yet we both absolutely loved this workshop. The teacher was incredibly skilled and the guide translated all my questions patiently.,Số 46 trên 456 Đồ ăn & Đồ uống ở Hà Nội,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d12084453-Reviews-Hanoi_and_Around_with_Thanh-Hanoi.html,,
Wine&Spirits Gallery Phu Quoc,-1,5.0,"126 Trần Hưng Đạo Tầng 2, Đảo Phú Quốc 920000 Việt Nam",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/c1/52/e3/wine-and-spirits-phu.jpg?w=900&h=600&s=1,"Loved this restauarant. Food was outstanding and a fabulous presentation.
Staff were welcoming, had great knowledge about the menu and were very attentive and friendly all night. We also enjoyed the music- guitarist/soloist that made for a fun atmosphere.
Thanks team for a job very well done",Số 3 trên 34 Giải trí về đêm ở Đảo Phú Quốc,https://www.tripadvisor.com.vn/Attraction_Review-g469418-d14025643-Reviews-Wine_Spirits_Gallery_Phu_Quoc-Phu_Quoc_Island_Kien_Giang_Province.html,,
Golden Bridge Bana Hills Tours,-1,4.5,-1,https://media-cdn.tripadvisor.com/media/attractions-splice-spp-720x480/07/94/66/73.jpg,-1,Số 10 trên 98 Đồ ăn & Đồ uống ở Đà Nẵng,https://www.tripadvisor.com.vn/Attraction_Review-g298085-d17487683-Reviews-Golden_Bridge_Bana_Hills_Tours-Da_Nang.html,,
Tour Guide In Saigon,-1,5.0,-1,-1,"very nice driver, delisus food, very good trip. super view, very nice guide. nice worker. every where is green",Số 1 trên 296 Giải trí về đêm ở Thành phố Hồ Chí Minh,https://www.tripadvisor.com.vn/Attraction_Review-g293925-d12226320-Reviews-Tour_Guide_In_Saigon-Ho_Chi_Minh_City.html,,
Hong Hoai Cooking Class,-1,5.0,"20 Bat Dan street, Hang Bo ward, Hà Nội 100000 Việt Nam",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/c0/13/b6/caption.jpg?w=900&h=600&s=1,"Lớp học khá thú vị và bổ ích, giúp mình học được 1 món đồ uống vừa ngon vừa lạ mà nhiều người Việt Nam đều ưa thích. Cô giáo dễ thương ^^!
我和我的朋友都很喜欢这！",Số 27 trên 224 Lớp học & hội thảo ở Hà Nội,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d19994127-Reviews-Hong_Hoai_Cooking_Class-Hanoi.html,,
OneTrip With Local,-1,5.0,-1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2a/39/5a/f9/dinh-liet-street.jpg?w=1200&h=-1&s=1,"We had such a great experience in the Food Tour. Our Guid Vu did it with so much heart, showed us very good local food and explained something about the culture. His english was so good and we had a very good time.",Số 47 trên 456 Đồ ăn & Đồ uống ở Hà Nội,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d15349060-Reviews-OneTrip_With_Local-Hanoi.html,,
Saigon Free Walking Tours,-1,5.0,-1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/af/d8/c9/our-volunteer-student.jpg?w=1200&h=-1&s=1,"2018/7/1一早的城市漫步, 在此要感謝導遊Phương Thanh(Taura)的熱情陪伴啦~
在大熱天針對各個景點依然很認真解釋, 讓我了解各個景點的故事 ! 除了逛市區景點印象最深的就是帶我去喝了一杯Coconut milk with coffee !! 超好喝~~~台北也要有啦~~

Thank you Phương Thanh(Taura) !",Số 33 trên 424 Hoạt động ngoài trời ở Thành phố Hồ Chí Minh,https://www.tripadvisor.com.vn/Attraction_Review-g293925-d8141061-Reviews-Saigon_Free_Walking_Tours-Ho_Chi_Minh_City.html,,
Hoi An - Da Nang - Hue Private Day Tour,-1,5.0,-1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/e4/b6/e7/cycle-to-cua-dai-bridge.jpg?w=1000&h=-1&s=1,-1,Số 3 trên 98 Đồ ăn & Đồ uống ở Đà Nẵng,https://www.tripadvisor.com.vn/Attraction_Review-g298085-d11729061-Reviews-Hoi_An_Da_Nang_Hue_Private_Day_Tour-Da_Nang.html,,
The Deck Rooftop Bar Hoi An,-1,4.5,"39 Đào Duy Từ, Hội An 560000 Việt Nam",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/14/12/a6/2c/the-highest-rooftop-bar.jpg?w=900&h=600&s=1,"Bạn nên ghé thăm, rất đẹp và ngon, phục vụ tốt, vị trí tiện lợi, tôi và gia đình rất vui vẻ ở đây, sẽ quay lại",Số 5 trên 40 Giải trí về đêm ở Hội An,https://www.tripadvisor.com.vn/Attraction_Review-g298082-d14936634-Reviews-The_Deck_Rooftop_Bar_Hoi_An-Hoi_An_Quang_Nam_Province.html,,
Green Mango Cooking School,-1,5.0,"54 Nguyễn Thái Học, Hội An 51000 Việt Nam",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/73/8a/5c/photo0jpg.jpg?w=900&h=600&s=1,The cooking class with our brilliant Intrepid tour team was simply great! A great blend of recipes with extensive easy to understand instructions at the class and these were subsequently emailed to us all as well. Cannot recommend the class and be wonderful teacher Jam enough.,Số 47 trên 167 Lớp học & hội thảo ở Hội An,https://www.tripadvisor.com.vn/Attraction_Review-g298082-d15232362-Reviews-Green_Mango_Cooking_School-Hoi_An_Quang_Nam_Province.html,,
Hoi An Eco Cooking Tour Discovery,-1,5.0,-1,-1,Trả was an unforgettable person I met on this trip. Her cooking class was by far a highlight of mine. I’m full vietnamese but I’d never learn how to cook like she did. The experience was truly special and If recommend this to anyone visiting Hỏi An.,Số 7 trên 167 Lớp học & hội thảo ở Hội An,https://www.tripadvisor.com.vn/Attraction_Review-g298082-d19488113-Reviews-Hoi_An_Eco_Cooking_Tour_Discovery-Hoi_An_Quang_Nam_Province.html,,
Saigon Taste Tours,-1,5.0,-1,https://media-cdn.tripadvisor.com/media/attractions-splice-spp-720x480/0e/ed/47/d1.jpg,-1,Số 12 trên 326 Đồ ăn & Đồ uống ở Thành phố Hồ Chí Minh,https://www.tripadvisor.com.vn/Attraction_Review-g293925-d17733614-Reviews-Saigon_Taste_Tours-Ho_Chi_Minh_City.html,,
